x y z
2.65569 -0.13015 0.773556
2.65269 -0.126308 0.770315
2.64965 -0.122487 0.767068
2.64659 -0.118684 0.763813
2.6435 -0.1149 0.76055
2.64039 -0.111133 0.757278
2.63727 -0.107383 0.753997
2.63414 -0.103648 0.750706
2.631 -0.0999279 0.747404
2.62786 -0.0962215 0.744092
2.62473 -0.092528 0.740767
2.6216 -0.0888464 0.737431
2.61849 -0.0851757 0.734083
2.61539 -0.0815152 0.730721
2.61232 -0.0778638 0.727345
2.60928 -0.0742207 0.723956
2.60628 -0.0705849 0.720551
2.6033 -0.0669556 0.717132
2.60038 -0.0633319 0.713697
2.5975 -0.0597128 0.710246
2.59467 -0.0560976 0.706779
2.5919 -0.0524854 0.703295
2.58918 -0.0488752 0.699793
2.58654 -0.0452664 0.696274
2.58396 -0.041658 0.692737
2.58146 -0.0380493 0.689181
2.57904 -0.0344394 0.685606
2.5767 -0.0308276 0.682013
2.57445 -0.0272131 0.6784
2.57229 -0.0235951 0.674767
2.57022 -0.0199731 0.671114
2.56825 -0.0163462 0.667441
2.56639 -0.0127137 0.663748
2.56464 -0.0090751 0.660034
2.56299 -0.00542966 0.656299
2.56146 -0.00177681 0.652543
2.56005 0.00188406 0.648766
2.55875 0.00555348 0.644967
2.55759 0.009232 0.641148
2.55654 0.0129201 0.637306
2.55564 0.0166183 0.633444
2.55486 0.020327 0.62956
2.55422 0.0240466 0.625655
2.55372 0.0277774 0.621728
2.55336 0.03152 0.61778
2.55314 0.0352744 0.61381
2.55308 0.0390411 0.60982
2.55315 0.0428203 0.605808
2.55338 0.0466121 0.601776
2.55377 0.0504168 0.597723
2.5543 0.0542345 0.59365
2.55499 0.0580652 0.589557
2.55584 0.061909 0.585444
2.55685 0.065766 0.581312
2.55801 0.0696361 0.577161
2.55934 0.0735192 0.572991
2.56082 0.0774153 0.568803
2.56247 0.0813241 0.564597
2.56428 0.0852456 0.560374
2.56625 0.0891794 0.556134
2.56838 0.0931253 0.551878
2.57067 0.0970829 0.547607
2.57313 0.101052 0.54332
2.57574 0.105032 0.53902
2.57852 0.109022 0.534706
2.58145 0.113023 0.530379
2.58455 0.117033 0.52604
2.5878 0.121052 0.521689
2.5912 0.125079 0.517329
2.59476 0.129114 0.512958
2.59848 0.133155 0.508579
2.60234 0.137203 0.504193
2.60635 0.141256 0.499799
2.61051 0.145313 0.4954
2.61481 0.149374 0.490995
2.61925 0.153437 0.486588
2.62383 0.157502 0.482177
2.62854 0.161567 0.477765
2.63339 0.165631 0.473353
2.63836 0.169694 0.468941
2.64346 0.173753 0.464532
2.64867 0.177809 0.460125
